sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543420;556938;1136;48980;1584543420;556889;0.01230769;
1584543420;657885;1136;149466;1584543420;657839;0.01186813;
1584543420;758617;1136;250394;1584543420;758576;0.01362637;
1584543420;859454;1136;351011;1584543420;859411;0.01538462;
1584543420;960072;1136;452045;1584543420;960030;0.01186813;
1584543421;61059;1136;553088;1584543421;61018;0.01230769;
1584543421;162400;1136;654889;1584543421;162353;0.01186813;
1584543421;262738;1136;754554;1584543421;262695;0.0232967;
1584543421;363637;1136;857473;1584543421;363591;0.01186813;
1584543421;465078;1136;957006;1584543421;465032;0.01230769;
1584543421;566873;1137;59304;1584543421;566825;0.01846154;
1584543421;667398;1137;159029;1584543421;667349;0.01406593;
1584543421;767995;1137;260475;1584543421;767950;0.01230769;
1584543421;868252;1137;359951;1584543421;868205;0.02153846;
1584543421;968790;1137;460790;1584543421;968744;0.01230769;
1584543422;69865;1137;561560;1584543422;69822;0.01186813;
1584543422;170615;1137;662510;1584543422;170572;0.01186813;
1584543422;271356;1137;763173;1584543422;271314;0.01186813;
1584543422;372154;1137;863921;1584543422;372112;0.01494505;
1584543422;472902;1137;965100;1584543422;472860;0.01186813;
1584543422;574177;1138;66011;1584543422;574135;0.01978022;
1584543422;675346;1138;167200;1584543422;675304;0.01186813;
1584543422;776244;1138;268293;1584543422;776201;0.01186813;
1584543422;877239;1138;368714;1584543422;877198;0.01406593;
1584543422;977902;1138;469775;1584543422;977857;0.01186813;
1584543423;80132;1138;572562;1584543423;80085;0.02197802;
1584543423;180363;1138;673084;1584543423;180316;0.01186813;
1584543423;281054;1138;771494;1584543423;281005;0.01230769;
1584543423;381448;1138;873489;1584543423;381407;0.01186813;
1584543423;482587;1138;974468;1584543423;482544;0.01186813;
1584543423;583857;1139;74282;1584543423;583809;0.01186813;
1584543423;685406;1139;177421;1584543423;685329;0.01186813;
1584543423;787540;1139;279199;1584543423;787492;0.01186813;
1584543423;888033;1139;379940;1584543423;887988;0.01142857;
1584543423;988926;1139;481194;1584543423;988883;0.01186813;
1584543424;90303;1139;582038;1584543424;90258;0.01186813;
1584543424;195078;1139;690701;1584543424;195014;0.01186813;
1584543424;304942;1139;795477;1584543424;304882;0.01186813;
1584543424;404569;1139;894908;1584543424;404525;0.01186813;
1584543424;506364;1139;996698;1584543424;506322;0.01186813;
1584543424;609938;1140;100398;1584543424;609884;0.007032967;
1584543424;711152;1140;201571;1584543424;711099;0.005274725;
1584543424;812478;1140;305612;1584543424;812421;0.005274725;
1584543424;918806;1140;409238;1584543424;918744;0.005274725;
1584543425;26849;1140;517268;1584543425;26796;0.006593407;
1584543425;126228;1140;617879;1584543425;125651;0.005274725;
1584543425;223420;1140;713870;1584543425;223387;0.01318681;
1584543425;323878;1140;814273;1584543425;323830;0.005274725;
1584543425;424275;1140;918756;1584543425;424234;0.005274725;
1584543425;526007;1141;21276;1584543425;525951;0.007032967;
1584543425;627842;1141;124264;1584543425;627786;0.005274725;
1584543425;730462;1141;226574;1584543425;728173;0.006153846;
1584543425;830347;1141;320842;1584543425;830289;0.007472527;
1584543425;944090;1141;434529;1584543425;944025;0.005274725;
1584543426;39745;1141;533572;1584543426;39697;0.004835165;
1584543426;134748;1141;638561;1584543426;134687;0.01010989;
1584543426;236795;1141;737629;1584543426;236684;0.005714286;
1584543426;354017;1141;844472;1584543426;349206;0.005274725;
1584543426;452517;1141;942884;1584543426;452445;0.01714286;
1584543426;557945;1142;50100;1584543426;557857;0.005274725;
1584543426;638340;1142;130036;1584543426;638291;0.005274725;
1584543426;760989;1142;260549;1584543426;760924;0.005274725;
1584543426;842870;1142;333304;1584543426;842824;0.008791209;
1584543426;944079;1142;436712;1584543426;944022;0.006153846;
1584543427;51259;1142;546631;1584543427;51189;0.005274725;
