sent.seconds,sent.microseconds,received.seconds,received.microseconds,sampleTimeStamp.seconds,sampleTimeStamp.microseconds,groundSteering5,groundSteering4,groundSteering3,groundSteering2,groundSteering1
1584543625,134466,1340,621269,1584543625,134466,0.2249284,0.0509833,-0.290888,0,0
1584543625,235071,1340,721858,1584543625,235071,0.1799374,0.06597735,-0.290888,0,0
1584543625,335655,1340,822444,1584543625,335655,0,0.0749791,-0.290888,0,0
1584543625,436256,1340,923043,1584543625,436256,0,0.09297372,-0.290888,0,0.01200234
1584543625,536853,1341,23643,1584543625,536853,0,0.08697256,-0.2519071,0,0
1584543625,637425,1341,124217,1584543625,637425,0,0.06897793,-0.002991707,0,0
1584543625,738019,1341,224807,1584543625,738019,0,0.06897793,0,0,0
1584543625,838649,1341,325438,1584543625,838649,0,0.06897793,-0.1589422,0.281904,0
1584543625,939359,1341,426153,1584543625,939359,0,0.06897793,-0.08996427,0.1499493,0
1584543626,39914,1341,526704,1584543626,39914,0,0.06897793,0,0,0
1584543626,140375,1341,627161,1584543626,140375,0,0.06897793,0,0,0
1584543626,240819,1341,727614,1584543626,240819,0,0.06897793,-0.1169518,0,0
1584543626,341740,1341,828635,1584543626,341740,0,0.06897793,-0.1139512,0,0.06298564
1584543626,442600,1341,929448,1584543626,442600,0,0.07197852,0,0,0.290888
1584543626,543328,1342,30164,1584543626,543328,0,0.06897793,-0.02098634,0,0
1584543626,644198,1342,131076,1584543626,644198,0,0.06897793,-0.2788945,0,0
1584543626,744973,1342,231768,1584543626,744973,0.03598926,0.07197852,-0.2549076,-0.1229529,0
1584543626,845601,1342,332407,1584543626,845601,0.06597735,0.06897793,0,0,0
1584543626,946200,1342,433011,1584543626,946200,0.0239958,0,0,0,0
1584543627,46797,1342,533603,1584543627,46797,0.0239958,-0.04798272,0,0,0
1584543627,147468,1342,634289,1584543627,147468,0.0239958,-0.1469399,0,0,-0.0269875
1584543627,248137,1342,734938,1584543627,248137,0.0239958,-0.1349464,0,0,-0.290888
1584543627,348600,1342,835386,1584543627,348600,0.0239958,-0.1289541,0,0,0
1584543627,449314,1342,936186,1584543627,449314,0.02099521,-0.1289541,-0.05997618,0,0
1584543627,549914,1343,36704,1584543627,549914,0,-0.1289541,0,0,0
1584543627,650428,1343,137219,1584543627,650428,0,-0.1289541,0,0,0.0479916
1584543627,750947,1343,237827,1584543627,750947,0,-0.1079589,0,0,0.2219278
1584543627,851613,1343,338408,1584543627,851613,0,-0.1049583,0,0,0.1259624
1584543627,952158,1343,438962,1584543627,952158,0,-0.1049583,0,0,0.006001169
1584543628,52719,1343,539525,1584543628,52719,-0.002991707,-0.1049583,-0.02998809,0,0.2339213
1584543628,153299,1343,640096,1584543628,153299,-0.03297979,-0.1049583,-0.03598038,0,0.2069338
1584543628,253918,1343,740722,1584543628,253918,-0.1169518,-0.09596544,-0.01798575,0,0.197932
1584543628,354493,1343,841294,1584543628,354493,-0.08696368,0,0,0.1409564,0.1649434
1584543628,455070,1343,941872,1584543628,455070,0,0,0,0.2009326,0.1649434
1584543628,555622,1344,42424,1584543628,555622,0,0,0,0,0.1409564
1584543628,656193,1344,142991,1584543628,656193,0,0,0,0,0.0749791
1584543628,756739,1344,243540,1584543628,756739,0,-0.09296485,0,0,0.01500292
1584543628,857206,1344,343994,1584543628,857206,0,-0.09296485,0,0,0
1584543628,957794,1344,444596,1584543628,957794,0,-0.09296485,0,0,0
1584543629,58422,1344,545242,1584543629,58422,0,-0.09296485,0,0,0
1584543629,159173,1344,645983,1584543629,159173,0,-0.1259535,0,0,0
1584543629,259768,1344,746568,1584543629,259768,0,-0.1919309,0,0,0
1584543629,360393,1344,847199,1584543629,360393,0,-0.2878963,0,0.290888,0.08997314
1584543629,461061,1344,947907,1584543629,461061,0,-0.290888,0.003000584,0.290888,0.1859386
1584543629,561732,1345,48540,1584543629,561732,0,-0.1739362,0.0749791,0.290888,0.2069338
1584543629,662477,1345,149358,1584543629,662477,0,0,0.09896602,0.2459148,0.1739451
1584543629,763466,1345,250369,1584543629,763466,0.05998505,0,0.08097139,0,0.05398389
1584543629,864200,1345,351017,1584543629,864200,0.01500292,0,0.06298564,0,0
1584543629,964906,1345,451723,1584543629,964906,0,0,0.05998505,0,0
1584543630,65459,1345,552255,1584543630,65459,0.003000584,0,0.0509833,0.2699105,0
1584543630,166011,1345,652817,1584543630,166011,0.08997314,0,0.0239958,0.290888,0
1584543630,266563,1345,753370,1584543630,266563,0.08697256,0,0.01200234,0.2129261,-0.2399136
1584543630,367202,1345,854026,1584543630,367202,0.08997314,0,0.01200234,0,0
1584543630,467788,1345,954586,1584543630,467788,0.1619428,0,0.009001753,0,0
1584543630,568375,1346,55188,1584543630,568375,0.1889392,0,0,0,0
1584543630,668935,1346,155746,1584543630,668935,0,0,0,0,-0.137947
1584543630,769635,1346,256465,1584543630,769635,0,0,0,0.290888,0
1584543630,870240,1346,357057,1584543630,870240,0.08097139,0,0,0.290888,0
1584543630,970856,1346,457763,1584543630,970856,0.1619428,0,0,0.26691,-0.152941
1584543631,71573,1346,558372,1584543631,71573,0,0,0,0,0
1584543631,172125,1346,658940,1584543631,172125,0.1649434,0,0,0,0
1584543631,272870,1346,759750,1584543631,272870,0.2159267,0,0,0.290888,-0.290888
1584543631,373551,1346,860344,1584543631,373551,0.1949314,0,0,0.2489153,-0.290888
1584543631,474004,1346,960789,1584543631,474004,0.07197852,0,0,0.2039332,-0.290888
1584543631,574538,1347,61343,1584543631,574538,0.2099344,0,0.003000584,0,0
1584543631,675075,1347,161868,1584543631,675075,0.2099344,0,0.0479916,0,0
1584543631,775567,1347,262372,1584543631,775567,0.0749791,0,0.05998505,0,-0.01499404
1584543631,876085,1347,362883,1584543631,876085,0,0,0.05998505,0,-0.290888
1584543631,976641,1347,463446,1584543631,976641,0,0,0.07197852,0,0
1584543632,77437,1347,564366,1584543632,77437,0,0,0.0749791,0.0239958,0
1584543632,178096,1347,664893,1584543632,178096,0,0,0.0749791,0.09297372,-0.1049583
